2020-01-21 17:50:55,474 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-01-21 17:50:55,502 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-01-21 17:50:55,504 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-01-21 17:50:55,504 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-01-21 17:50:55,523 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-01-21 17:50:55,523 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-01-21 17:50:55,539 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-01-21 18:05:34,501 INFO  SwAddin.cs: 271 - Assembly export called for file scaraiit
2020-01-21 18:05:39,142 INFO  SwAddin.cs: 290 - Saving assembly
2020-01-21 18:05:40,094 INFO  SwAddin.cs: 293 - Opening property manager
2020-01-21 18:05:40,168 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from scaraiit
2020-01-21 18:05:40,188 INFO  ExportHelperExtension.cs: 1142 - Found 31 in scaraiit
2020-01-21 18:05:40,199 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in scaraiit
2020-01-21 18:05:40,200 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-01-21 18:05:40,208 INFO  ExportHelperExtension.cs: 1167 - 4 components to check
2020-01-21 18:05:40,210 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from humensamb-1
2020-01-21 18:05:40,211 INFO  ExportHelperExtension.cs: 1142 - Found 22 in humensamb-1
2020-01-21 18:05:40,212 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in humensamb-1
2020-01-21 18:05:40,213 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Radio-cubito angosto 3-1
2020-01-21 18:05:40,214 INFO  ExportHelperExtension.cs: 1142 - Found 22 in Radio-cubito angosto 3-1
2020-01-21 18:05:40,215 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Radio-cubito angosto 3-1
2020-01-21 18:05:40,216 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Zeta angosto 2-1
2020-01-21 18:05:40,217 INFO  ExportHelperExtension.cs: 1142 - Found 22 in Zeta angosto 2-1
2020-01-21 18:05:40,218 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Zeta angosto 2-1
2020-01-21 18:05:40,219 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Base 0.2-1
2020-01-21 18:05:40,219 INFO  ExportHelperExtension.cs: 1142 - Found 22 in Base 0.2-1
2020-01-21 18:05:40,220 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Base 0.2-1
2020-01-21 18:05:40,220 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from scaraiit
2020-01-21 18:05:40,221 INFO  ExportHelperExtension.cs: 1142 - Found 31 in scaraiit
2020-01-21 18:05:40,222 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in scaraiit
2020-01-21 18:05:40,222 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-01-21 18:05:40,272 INFO  ExportHelperExtension.cs: 1167 - 4 components to check
2020-01-21 18:05:40,273 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from humensamb-1
2020-01-21 18:05:40,274 INFO  ExportHelperExtension.cs: 1142 - Found 22 in humensamb-1
2020-01-21 18:05:40,275 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in humensamb-1
